time,open,high,low,close,volume,note
2025-08-14,4.8700,4.9200,4.8300,4.8300,176765941,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-15,4.8300,4.8400,4.6800,4.7000,440254789,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-18,4.7200,4.7400,4.6800,4.7100,235122789,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-19,4.7100,4.7400,4.6800,4.6900,184857949,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-20,4.6900,4.7500,4.6700,4.7100,185821242,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-21,4.7100,4.7800,4.6900,4.7600,228063472,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-22,4.7600,4.7700,4.6700,4.7300,262985333,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-25,4.7200,4.8100,4.7000,4.7800,278099586,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-26,4.7800,4.7800,4.7100,4.7300,236596579,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-27,4.7200,4.7200,4.6100,4.6100,379080151,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-28,4.6100,4.7200,4.5900,4.6900,319503497,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-29,4.6800,4.7500,4.5900,4.6000,477717743,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-01,4.6300,4.6700,4.5000,4.5100,515050137,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-02,4.5200,4.5700,4.5000,4.5600,326016745,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-03,4.5600,4.5800,4.4800,4.5100,217347928,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-09-04,4.5100,4.5100,4.4300,4.4800,266634468,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
