time,open,high,low,close,volume,note
2022-11-24,94.3100,96.3800,94.0100,94.3600,2181662,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-25,93.9000,97.1600,93.5200,94.2000,4058858,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-28,91.4400,92.6300,90.9000,92.2700,4081859,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-29,92.2700,98.8800,92.2700,98.3700,8610496,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-30,97.3100,102.0000,97.3100,100.5600,8929246,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-01,104.8300,108.6800,104.8300,106.4200,10612348,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-02,107.3500,107.5000,102.1100,102.8200,5973530,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-05,105.0000,106.0000,103.0900,104.6300,7287476,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-06,104.0000,107.7800,103.0000,106.0000,4684758,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-07,105.5000,106.4000,102.8000,104.3800,3789800,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-08,104.6600,104.6600,102.4400,103.8100,2697394,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-09,103.9900,105.1100,102.7700,104.1000,3260894,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-12,104.0000,105.9800,102.3300,102.3800,3657464,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-13,102.4000,104.3800,101.6200,101.7600,4176234,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-14,101.9600,103.6500,100.2000,102.8300,3288817,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-15,102.4700,103.4500,101.5000,103.0000,1946517,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-16,102.0000,102.4700,100.2100,101.0000,3306396,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-19,101.0100,101.7900,97.0100,97.9900,5541730,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-20,98.5000,98.5000,96.3600,96.7900,2524513,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-21,97.3200,97.4800,95.8000,96.1000,2355276,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-22,97.5800,99.0000,97.0200,97.4800,3274763,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-23,96.9600,98.7000,96.1700,97.1700,2469931,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-26,97.2200,99.8900,96.5200,99.5300,3404086,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-27,99.9800,100.8000,98.7000,99.2500,3161806,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-28,98.9700,100.6500,98.4800,99.0000,2879326,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-29,97.2100,99.9900,97.1200,99.2300,2335925,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-12-30,99.6900,100.4800,98.1400,98.6100,2097961,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
