time,open,high,low,close,volume,note
2022-11-30,77.8500,82.3300,77.8100,81.0000,35488291,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-01,83.5000,83.5200,81.1500,81.1700,23836446,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-02,80.9500,81.5000,80.0200,80.6000,16790436,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-05,80.8100,81.3300,79.1000,79.6100,22091091,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-06,78.5000,81.6500,77.8100,80.6900,24794326,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-07,80.1600,82.9300,79.8800,81.3900,26627236,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-08,81.1800,82.5000,80.3500,80.4000,21338748,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-09,80.3500,81.7000,79.6000,80.7100,18423671,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-12,80.1500,80.1500,78.5000,78.5000,20656654,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-13,78.6600,79.7900,77.9700,78.0000,14001085,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-14,77.6600,78.5000,77.0300,77.4200,13349991,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-15,77.0100,78.6800,76.3300,78.2200,20364911,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-16,77.0800,77.4500,74.3500,75.9000,30235354,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-19,75.5200,79.5000,75.4600,77.0600,31270846,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-20,77.0600,77.4300,74.4400,74.7000,18666687,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-21,74.5300,75.4000,72.9000,74.3600,14697168,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-22,74.9000,75.0000,71.9900,72.2000,20114017,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-23,71.5000,72.7800,71.0000,72.0600,13163652,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-26,72.0200,73.6900,71.7800,73.4300,12729167,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-27,73.5200,74.2300,72.7500,73.6300,13314419,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-28,72.0000,72.5900,70.4600,72.1200,20928621,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-29,71.6000,72.8500,71.2800,71.2900,13418433,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-12-30,71.9900,72.0800,69.5100,69.5100,23064418,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-03,69.3000,71.1400,68.5600,70.9100,20970952,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-04,70.3000,70.5100,68.0000,68.4100,25305570,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-05,68.9900,71.2500,68.5600,70.0300,30443619,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-06,69.9200,72.6700,69.5700,71.5600,30364165,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-09,71.8500,72.5800,71.5900,72.2800,22814077,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-10,71.9000,73.8000,70.9500,73.3800,30400057,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-11,72.9600,73.4800,72.0600,72.0600,15983652,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-12,72.8000,74.5800,72.8000,73.1300,22453342,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-13,73.3900,74.4000,72.6200,73.5400,17698206,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-16,73.4800,75.0000,72.7500,74.3300,20965595,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-17,74.5000,75.1800,74.1000,74.7800,17184062,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-18,75.0000,78.1000,74.6700,75.8800,26262449,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-19,76.3800,77.4900,75.0800,75.7800,21409011,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-20,75.8200,79.0000,75.4000,78.2000,37041336,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-30,82.0900,82.8800,79.0000,79.2500,45190100,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-01-31,79.7500,79.8700,78.8200,78.8300,20058363,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-01,79.5100,80.9700,79.2100,80.4800,26552629,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-02,80.2100,80.3600,79.3600,79.5600,19611413,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-03,79.7100,79.9800,77.5000,78.5000,21790885,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-06,77.7000,77.7700,76.5100,77.1800,19508849,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-07,77.2200,77.7800,76.8100,77.2100,12289773,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-08,78.1800,83.4500,78.0100,81.8500,71184527,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-09,81.5500,81.7900,80.3500,81.6200,31104034,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-10,81.4700,81.4700,78.5500,78.8400,33455126,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-13,78.1700,79.2000,78.0000,78.6200,17643046,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-14,78.6300,78.9700,77.3800,77.7600,21346715,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-15,77.9900,78.4200,76.5400,76.6800,20346246,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-16,76.6700,77.5800,74.3300,75.1500,24755044,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-17,75.1800,75.5300,73.8800,73.9900,18113344,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2023-02-20,71.8600,73.4800,70.5500,73.4500,28535579,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
