time,open,high,low,close,volume,note
2020-12-23,119.0600,128.7000,117.7800,127.1000,21384252,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-24,127.8000,136.3900,127.7300,131.7000,19488806,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-25,131.9200,132.5000,125.5600,130.1200,13435067,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-28,129.9000,130.7500,126.8000,127.1700,9721640,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-29,125.8300,130.4500,122.2800,127.5100,12108229,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-30,126.0900,135.0500,125.0000,132.0000,13905882,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-31,131.4600,136.3600,130.0000,133.8100,13240339,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-04,137.0500,144.5000,137.0500,141.8500,16287178,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-05,140.0000,149.0000,139.9000,144.6500,16095408,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-06,144.5700,147.7900,142.0100,143.9600,12565925,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-07,143.9700,151.8800,142.5000,149.5000,16653377,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-08,149.0000,150.8800,139.8900,140.7600,17095286,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-11,144.0000,150.4800,141.0000,143.6300,17040922,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-12,144.8000,148.6600,141.9900,144.0000,14176379,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-13,144.0200,150.5000,143.6600,145.8700,18134927,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-14,142.4000,142.4000,131.2800,131.2800,28729915,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-15,128.7000,132.2300,124.7900,127.7400,21434450,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-18,127.7500,133.5100,122.3800,132.3000,20393299,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2021-01-19,131.1000,131.5000,127.3000,128.8100,14042746,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
