time,open,high,low,close,volume,note
2020-07-06,99.9900,102.9300,96.9100,101.8300,3798348,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-07,103.5300,110.6900,102.8800,105.4300,2902473,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-08,106.6000,109.3600,103.6100,107.0000,2032020,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-09,105.8000,108.8000,104.4500,108.0000,2489622,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-10,107.4700,116.0000,106.9200,113.4900,2662136,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-13,116.0000,124.5000,114.0000,122.3800,2368214,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-14,119.8600,119.8600,113.3300,117.4200,2143507,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-15,115.6100,118.0000,109.0000,116.0000,2311795,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-16,116.9900,119.1800,104.8800,105.5000,2795182,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-17,105.9100,108.7600,101.6600,104.1000,1973563,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-20,108.0000,108.5000,102.7800,106.3500,1124340,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-21,107.8500,107.8500,105.0000,106.9300,1017531,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-22,105.9500,108.8000,105.5800,107.2000,1412253,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-23,105.7800,108.0000,102.2600,106.5700,1245230,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-24,105.0000,105.7100,96.9600,98.7000,2049286,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-27,98.7000,99.7000,91.8300,92.0000,2025273,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-28,93.0500,95.9700,92.7000,95.7400,1363036,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-29,95.5700,99.6500,94.3000,99.4200,1040360,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-30,99.0000,99.8100,96.5000,98.0500,1085480,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-31,99.6000,99.9900,97.0000,97.3000,894600,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-03,97.9800,103.8100,96.5400,102.8000,1534072,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-04,103.1300,105.9600,101.2100,104.8000,1256805,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-05,105.0500,105.7800,99.5000,100.7200,1641200,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-06,100.5300,100.6000,97.2200,98.7200,1028076,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-07,98.4500,99.9000,95.0000,99.0000,932434,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-10,99.0000,99.0000,95.4600,97.9000,531506,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-11,97.9000,99.4700,96.0000,96.0200,547086,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-12,95.7800,95.8000,92.1000,93.8100,913322,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-13,95.2500,98.3200,93.5800,93.7200,751620,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-14,94.0400,94.8800,91.5100,94.3900,598300,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-17,95.0000,95.2700,93.4200,94.2500,798370,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-18,94.3200,95.7800,93.8100,94.1000,609760,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-08-19,94.0000,94.0000,87.5000,90.2200,1353085,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
