time,open,high,low,close,volume,note
2020-08-21,17.5000,17.7700,16.9800,17.1900,32204745,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-24,17.3100,17.5900,16.9800,17.3700,25610530,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-25,17.3900,17.5500,17.1000,17.1500,21311329,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-26,17.0500,17.2600,16.5000,16.6500,31363603,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-27,16.7500,17.0500,16.5900,16.8300,21568667,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-28,16.8000,17.0400,16.5100,16.9800,23394636,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-31,17.0400,17.3500,16.7500,16.8000,27879660,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-01,16.7000,16.9200,16.6000,16.8200,16167770,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-02,16.9600,17.0000,16.6100,16.6600,18648280,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-03,16.7000,16.7900,16.2800,16.4600,22507842,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-04,16.7600,17.3500,16.7500,17.2900,53139284,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-07,17.6000,18.1300,17.1800,17.2600,61744378,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-08,17.0600,17.9900,17.0600,17.9700,55867473,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-09,17.7000,18.2700,17.4300,17.6400,56853286,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-10,17.8200,17.9200,16.6200,16.7100,40570754,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-11,16.7500,17.1500,16.6300,17.0400,24237637,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-14,17.0900,17.6800,17.0700,17.4700,34063044,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-15,17.3100,17.5000,17.0000,17.4700,30052075,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-16,17.2800,17.8400,17.2700,17.6000,31812694,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-17,17.4900,18.1500,17.2500,17.9400,45523579,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-18,17.7700,18.1500,17.7300,18.1200,41783550,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-21,18.2400,18.3800,17.7600,17.9000,32432149,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-22,17.6500,17.9400,17.3300,17.4500,26403424,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-23,17.5100,17.7000,17.2900,17.5600,20601776,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-24,17.3000,17.8500,17.2100,17.6900,26011146,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-25,17.8000,17.8400,17.1800,17.2300,22843825,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-28,17.0400,17.0400,16.3000,16.3700,28529006,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-29,16.4000,16.6700,16.3800,16.4800,14640570,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-09-30,16.5800,16.5800,16.0800,16.1100,16127071,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-09,16.3500,16.8000,16.3500,16.6800,18815181,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-12,16.8000,17.2900,16.8000,17.2500,24854875,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-10-13,17.1900,17.2900,17.0300,17.1800,18155821,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
