time,open,high,low,close,volume,note
2022-03-17,124.7700,126.5000,122.5100,122.5100,7351741,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-18,121.6000,123.8900,120.8300,121.5600,3537265,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-21,121.2100,123.5000,120.8100,122.0100,3111043,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-22,120.8600,122.6300,118.2500,119.8200,4169674,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-23,120.5000,121.9500,119.0100,119.4700,3161872,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-24,118.5200,118.9600,115.1600,117.3500,3964812,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-25,118.3800,120.6200,115.1500,115.2000,4264949,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-28,113.8000,115.3700,113.1000,114.6800,2629712,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-29,114.7200,115.9800,112.6800,112.8000,2872242,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-30,113.8800,115.7500,113.4000,115.4900,3463622,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-31,115.7200,118.5300,114.8600,116.4500,5759255,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-01,116.0000,119.2000,115.5500,117.2000,3860652,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-06,118.0000,118.0000,113.1100,113.9400,4713299,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-07,113.9200,116.9400,113.5800,114.3000,3488462,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-08,115.0200,117.3000,113.6400,116.1900,4116324,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-11,115.3900,115.8100,111.2000,111.5000,3953251,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-12,111.0000,112.9700,106.6800,110.6900,5111687,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-13,110.0000,110.0000,106.9800,107.1000,3320971,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-14,108.1700,110.9700,101.0900,108.1000,7186492,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-15,106.0000,108.3900,105.0000,106.6500,3008980,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-18,105.8700,111.6600,105.0000,110.0000,5166253,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-19,109.7400,110.9400,107.4800,107.7800,3680100,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-20,108.5000,109.4900,105.6000,106.2000,2947492,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-21,105.1500,108.9000,104.5800,104.7900,3493158,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-22,104.5000,106.5700,102.4500,102.4500,3608058,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-25,100.4800,101.4900,96.1600,96.1600,5001734,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-26,97.0000,98.2800,92.9000,93.8000,4754083,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-27,92.8500,98.2500,91.2800,97.8600,4959922,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-28,98.9900,101.5000,98.5000,100.0100,6554657,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-04-29,101.9700,106.1800,99.7500,105.0000,5790957,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-05,107.1000,107.1900,103.8800,104.2500,5132116,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-06,102.0000,105.5000,101.5200,103.9200,3346767,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-09,102.0100,104.5000,101.0000,101.3600,2459378,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-10,100.0100,108.7000,99.6000,106.5000,6126854,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-11,107.7100,111.1100,105.8900,108.9100,6374912,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-12,108.1700,110.8600,108.0800,109.3900,3552475,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-13,110.2500,110.5000,108.0600,109.3600,2461774,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-16,109.9800,110.9500,106.6200,107.1000,2847878,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-17,106.8800,109.9400,106.3900,109.5100,3756195,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-18,109.5900,112.7800,108.9200,110.5200,4357635,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-19,108.2000,113.9500,108.0800,112.2000,4326302,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-20,111.3000,113.7800,110.1800,113.5800,4423634,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-23,113.3900,113.8900,111.8400,112.8000,2554608,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-24,112.8000,113.7700,108.7700,109.0000,3501822,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-25,108.9400,110.3800,107.8000,108.2500,2786317,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-26,108.2200,109.3000,106.5300,108.0000,2559647,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-27,108.4000,109.7800,105.5100,106.3600,3370865,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-30,106.8200,110.3200,105.9800,109.3900,4049881,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-05-31,109.5200,116.3400,107.2000,115.4400,7306095,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-06-01,115.3000,117.3000,114.4700,116.3000,7596661,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-06-02,117.0000,124.9700,115.5500,123.4700,12706214,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-06-06,123.9000,128.1000,121.9000,127.3300,9748368,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-06-07,126.0000,127.5000,124.6700,126.8000,6033566,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-06-08,126.7600,127.7700,124.0100,126.7200,5375107,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-06-09,126.4500,126.4500,122.1600,122.6300,6613261,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
