time,open,high,low,close,volume,note
2024-11-27,114.8000,116.3900,112.6800,116.2600,24978692,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-28,115.9900,115.9900,111.4800,111.8800,28496566,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-29,112.0000,117.5000,112.0000,114.9500,29771380,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-02,116.7200,121.9600,115.0400,120.7100,35023911,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-03,120.0800,121.2100,116.6000,118.5300,21310278,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-04,117.4400,119.2900,116.3000,117.3300,16616810,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-05,119.0000,123.8700,118.9400,121.0800,32474532,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-06,120.5000,123.9500,120.5000,120.9000,20557889,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-09,120.9000,120.9000,115.0100,116.0000,25647086,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-10,119.5700,120.3800,114.6800,116.8500,30262504,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-11,115.9900,126.4500,114.0000,123.9100,44009804,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-12,124.0000,132.0000,124.0000,129.9700,41114317,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-13,131.9300,134.3500,127.5000,129.2400,61489196,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-16,133.1000,134.8000,124.7600,132.1800,46523903,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-17,130.1000,141.1600,130.1000,133.7000,39211934,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-18,133.0000,133.8000,125.9900,128.5300,27671217,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-19,126.9400,130.2700,125.5900,127.7500,23008494,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-20,127.1100,132.8000,126.6400,128.6500,24937363,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-23,123.1500,128.3000,123.1500,124.6500,40187768,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-24,125.5000,125.7600,118.1200,122.0000,31445590,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-25,121.9200,126.7600,121.0800,122.0000,22108387,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-26,122.0000,130.8000,120.0100,128.9300,34632180,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-27,129.9000,132.4900,126.6100,129.4200,24747953,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-30,129.0000,129.5800,120.2000,120.4400,34086561,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-12-31,120.0000,120.2600,115.5800,115.5800,24357767,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-02,115.0100,118.4300,112.5000,113.4700,20789909,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-03,113.8000,119.9200,112.9000,116.0000,28492390,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-06,117.7500,120.9800,115.0000,117.0200,23153484,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-07,118.0000,120.2700,114.4900,120.0000,22602760,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-08,117.0200,117.9200,113.9600,117.0200,18774528,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-09,115.9800,116.9800,113.0000,114.7400,20423318,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-10,113.7100,113.7600,108.2600,108.2600,28280870,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-13,108.1900,112.6400,108.1900,110.2900,23443626,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-14,109.7800,113.8300,106.2000,113.6900,28693032,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-15,112.5400,113.5300,109.7600,111.7000,20087319,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-16,113.0000,120.0400,111.8000,118.6800,42930032,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-17,117.4800,121.0400,117.0100,119.4300,27000476,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-20,120.9400,129.2900,120.9400,127.6500,32981075,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-21,136.0000,136.0000,131.0000,133.2000,36418464,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-22,138.1800,144.0800,137.0100,141.5000,45064349,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-23,141.5000,143.6800,135.6000,136.7000,32827056,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-24,136.7100,137.4300,134.0500,134.4900,23664151,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-01-27,127.7700,129.3900,125.0100,125.7700,23485910,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-05,118.0000,118.0000,102.1800,102.5100,53391500,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-06,106.0000,108.4400,104.8700,106.6500,45227204,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-07,108.0000,115.5300,108.0000,113.3900,41008025,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-10,115.1200,116.0400,111.8000,114.5600,24688846,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-11,115.0700,117.5500,113.7700,115.5500,20875427,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-12,114.1100,115.5000,112.8000,114.5000,22440444,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-13,113.3600,113.8100,110.4400,110.5100,21399539,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-14,111.5100,114.1400,108.0100,109.0100,21620047,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-17,110.9900,124.2200,110.9000,123.3000,46922044,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-18,120.8400,129.3900,120.6100,123.8000,38382766,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-19,122.9500,123.7500,119.3600,121.3800,27485209,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-20,120.2100,121.3000,117.0000,119.2000,24414664,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-21,119.2100,124.4900,117.8200,121.0400,37542068,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-24,118.9900,119.6900,113.3300,113.5000,42723517,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-25,110.2000,112.6300,109.6000,110.7000,26091134,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-26,110.7500,113.2400,108.6900,113.0000,28102835,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-27,113.0000,114.3100,105.0000,106.3700,44482319,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-02-28,101.0600,101.1700,94.7600,96.0400,62377343,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-03-03,96.0900,96.5000,90.2800,91.8000,50552284,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-03-04,87.5000,93.5100,87.4000,93.1500,40045732,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-03-05,93.2000,95.5500,93.2000,94.2900,30677043,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-03-06,94.9900,96.5800,92.7000,95.3400,39838270,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-03-07,93.6800,94.6000,91.9600,92.8700,33393775,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-03-10,93.0700,94.8100,92.0000,94.4000,26229625,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-03-11,92.0100,94.3000,91.7900,94.3000,20628185,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-03-12,95.2200,95.5300,93.3900,93.8600,25990204,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2025-03-13,95.2600,96.5000,92.1800,92.5300,29462810,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
