time,open,high,low,close,volume,note
2023-05-10,251.0000,262.1800,249.2000,259.7900,25369089,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-11,260.7700,269.8000,258.6800,263.7500,21423687,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-12,266.0000,268.2500,259.5200,260.1000,10457353,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-15,260.1000,266.5500,258.7000,264.9000,13692627,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-16,264.3900,267.4200,263.2000,265.1300,8163931,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-17,264.9900,265.8000,259.0100,261.0000,8955605,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-18,262.3000,263.8800,256.5600,259.0800,10069665,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-19,258.1800,260.9200,256.3000,259.1800,6010582,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-22,260.9200,266.0000,257.0800,265.1000,12016521,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-23,265.0400,266.8800,262.9300,262.9300,9061940,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-24,261.6000,265.0000,259.5200,261.9100,6809295,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-25,261.9600,263.8500,255.1400,255.6000,13207895,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-26,253.0000,253.0000,242.8000,246.9900,18581340,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-29,250.0000,250.5500,242.0000,244.9300,12472291,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-30,245.9500,255.0000,245.8300,252.2000,16688058,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-31,252.2000,254.9000,249.6500,253.6600,11838117,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-01,253.6600,257.8800,253.2300,255.4500,8673571,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-02,257.8800,259.5900,255.6000,259.0600,11067975,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-05,259.0000,259.0600,251.6700,258.3200,10479452,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-06,257.9500,265.0000,256.1800,260.8800,12898111,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-07,262.0000,263.4400,255.5000,256.5500,10049028,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-08,256.1900,258.8400,254.4700,255.0000,6445426,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-09,258.8000,259.1000,252.5000,258.0000,10748401,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-12,256.5000,263.0000,255.5000,260.5100,10289121,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-13,260.5000,262.0000,257.1300,261.2200,8151147,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-14,262.6800,265.3900,261.5000,263.0000,12577600,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-15,263.5000,275.0100,263.2900,271.8800,24396107,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-16,273.8600,275.8600,270.0000,271.0800,15229682,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-19,271.0800,274.9900,267.8800,269.2100,12356475,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-20,269.0100,269.2000,264.9000,268.2500,10236616,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-21,267.0100,273.2800,266.2500,267.7800,10781176,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-26,262.4300,268.6900,262.3000,262.8900,10151222,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-27,262.0200,263.8500,257.0800,260.0500,9902865,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-28,260.0000,262.5000,258.1000,260.2500,5726951,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-29,260.2500,260.7800,255.2300,255.7000,8348505,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-06-30,254.1300,260.0000,253.7000,258.2700,7572436,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-03,258.8800,269.2700,258.8800,267.4800,16256506,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-04,268.5000,275.0000,266.5100,271.5000,15712002,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-05,271.5100,272.4800,265.6900,267.0000,9303313,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-06,267.0000,272.0000,266.8000,268.1000,8371185,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-07,267.0000,267.6600,264.1100,264.4000,6219150,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-10,267.0000,269.5000,262.7500,263.5500,6887762,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-11,265.0000,270.6900,263.8000,269.3300,10240520,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-12,270.5000,271.1500,264.6600,265.6100,8703195,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-13,267.5000,269.5000,265.0100,267.8300,8275301,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-14,267.8000,267.8000,263.5000,264.4100,10272203,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-17,267.0000,267.0000,262.3500,264.4900,7892663,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-18,265.2500,267.5700,260.5000,265.4800,9845648,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-19,265.4900,265.9000,262.7400,264.8300,5025000,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-20,265.5000,269.5000,264.0000,264.9500,9127051,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-21,264.0000,264.8000,261.5500,264.3200,7528703,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-07-24,261.0100,262.7700,257.4900,257.5000,9595037,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
