time,open,high,low,close,volume,note
2018-11-01,71.0000,71.5000,63.4500,67.4700,11714843,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-02,69.6900,74.0000,68.7900,73.1800,11324785,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-05,72.1400,73.5100,69.6800,71.2700,8554006,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-06,70.3800,70.7000,65.8500,68.2600,9384759,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-07,68.0000,70.5000,67.5400,68.6300,8011918,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-08,69.8000,69.9000,66.5800,66.8700,5910616,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-09,65.9100,67.8300,65.5800,66.1100,4592575,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-12,66.1100,68.4000,66.0500,68.1000,5399520,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-13,67.0000,68.4500,66.6000,67.8800,6911236,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-14,68.9600,74.6700,68.5000,73.9900,17216895,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-15,74.0000,76.0100,73.0000,74.6600,12085137,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-16,75.5000,80.3900,75.0000,78.8600,12442330,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-19,76.2300,83.7700,76.0000,80.0500,10974721,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-20,79.3300,79.5500,76.3700,76.8300,9883102,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-21,74.1000,76.9900,74.1000,76.9600,6496387,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-22,78.1300,78.7800,74.6500,75.0400,7306225,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-23,75.5100,76.6000,72.6600,72.8200,7401064,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-26,73.0000,74.2600,71.5800,72.0800,4229238,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-11-27,73.1500,74.4500,72.3800,73.9600,5217699,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
