time,open,high,low,close,volume,note
2020-12-21,32.4000,34.5600,32.0400,33.7800,19917332,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-22,33.5700,34.0700,32.8800,32.9300,14894593,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-23,32.8500,33.7800,32.1800,33.4400,18336002,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-24,33.4400,34.1600,32.7800,32.8300,13498302,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-25,32.7000,32.9700,31.6200,31.8700,15475703,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-28,31.8500,32.0000,30.6000,30.6600,15016135,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-29,30.7000,31.7400,30.6100,30.9500,13265419,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-30,30.9500,32.5600,30.6100,32.2500,19184685,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-31,32.4300,33.2600,32.1000,33.1200,18583582,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-04,33.0000,34.0800,32.6800,33.6600,21558454,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-05,33.5000,34.6600,33.0000,34.6200,22131284,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-06,34.9200,35.8700,33.7700,33.9500,24341821,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-07,34.2700,34.2700,32.3200,32.6000,19301478,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-08,32.6100,33.4400,32.0700,32.3700,16028885,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-11,32.1500,33.8000,32.0200,32.3100,18701946,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-12,32.0800,32.5400,31.4100,31.8600,16081870,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-13,32.1500,33.4400,32.0800,32.4300,22636678,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-14,32.0600,38.1000,31.8000,36.8600,73081805,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-15,36.5400,37.4400,34.5800,34.8800,49206702,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-18,34.4900,37.6900,34.3000,36.7200,44608392,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-19,37.0800,38.1900,36.2100,36.9100,36563948,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-20,37.8000,38.1600,36.3000,37.0600,27244420,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-21,36.5000,36.9900,35.3600,36.0200,28078742,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-22,36.0200,36.7000,34.8900,35.1100,23326742,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-25,34.2800,36.0800,34.1300,34.9300,20938899,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-26,34.9000,35.9300,34.6100,35.2100,16996754,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-27,35.2100,35.3900,32.8300,33.0200,21950611,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-28,33.1000,33.8500,32.5000,32.5000,16699619,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-01-29,32.6000,33.0800,30.5000,31.0600,26952155,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-01,31.3900,32.3300,31.0200,31.9100,13916502,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-02,31.9300,32.0800,31.3300,31.5000,11014239,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-03,31.7500,31.7500,29.9000,30.0900,19704890,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-04,29.8600,30.5000,27.7000,29.1200,27713189,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-05,29.1600,29.3100,27.4000,27.4000,18291063,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-08,27.3900,28.3900,27.3800,28.0600,11902350,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-09,28.1800,29.0500,27.7700,28.7900,12869156,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-10,28.7500,29.2300,28.3000,28.9300,13273552,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-18,29.6200,31.7000,29.2500,30.3100,24617524,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-19,30.3200,30.9400,29.6000,30.5700,15352591,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-22,30.7500,31.0900,29.7900,29.9100,17280456,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-23,29.8300,29.8600,28.7400,28.9000,14650541,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-24,28.9000,30.3000,28.8800,29.4000,15728571,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-25,29.5300,29.5400,28.5800,28.5800,12217247,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-02-26,27.7000,28.6800,27.5100,28.2300,10696722,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-01,28.6800,29.9900,28.6300,29.9600,16570627,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-02,30.7000,30.8000,29.3300,29.7100,15450514,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-03,29.7600,29.8900,29.0000,29.6400,9450615,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-04,30.2200,30.9900,29.7000,29.7500,16998059,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-05,28.7000,29.7300,28.5000,29.3500,11570797,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-08,30.5000,30.5000,28.8500,29.0000,13579647,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-09,28.7000,29.2800,27.3400,27.8100,13055277,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-10,28.5000,28.5000,27.5000,27.8200,7635558,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-11,27.9500,30.5000,27.5700,29.2500,20472086,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-12,29.1900,29.4500,28.3700,28.3900,11371412,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-15,27.8100,28.1400,27.3200,27.5700,10209755,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-16,27.5700,27.9500,25.6600,26.1200,16574319,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-17,26.1300,26.9400,25.8500,26.4100,9556444,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-18,26.6600,27.0800,26.0500,26.2200,9296254,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-19,25.9000,26.2100,25.6000,25.6300,11011353,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-22,25.4000,25.8700,25.2500,25.6200,7814401,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-23,25.7000,26.3700,25.4600,25.7800,11330596,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-24,25.5000,25.5100,23.8800,24.0000,15908568,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-25,23.7000,24.2500,23.2000,23.2300,10818200,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-26,23.4000,23.6900,22.6500,23.5800,14598779,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-29,23.7800,24.3300,23.4800,23.6100,9958947,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-30,23.8900,23.8900,23.4000,23.5100,6545219,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-03-31,23.4400,23.6500,22.8000,23.5200,9182061,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-04-01,23.4400,24.5000,23.3000,24.1100,16760881,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-04-02,24.5000,26.6000,24.2800,25.8000,30967388,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-04-06,26.0000,26.0500,24.9000,25.4900,14840521,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-04-07,25.5300,25.7200,24.8500,25.5800,12728386,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2021-04-08,25.5800,25.8000,24.6200,24.6700,12164412,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
