time,open,high,low,close,volume,note
2023-07-27,4.2000,4.2400,4.1800,4.2100,182219879,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-28,4.1800,4.3300,4.1600,4.2800,264991921,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-31,4.2900,4.3400,4.2500,4.2900,215069415,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-01,4.2800,4.3100,4.2600,4.2900,139580555,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-02,4.2800,4.3100,4.2600,4.2900,122289969,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-03,4.2700,4.3100,4.2500,4.3000,121468567,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-04,4.3100,4.3400,4.2500,4.2700,193466607,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-07,4.2700,4.3000,4.2000,4.2200,155096208,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-08,4.2000,4.2300,4.1300,4.1500,192017586,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-09,4.1400,4.1500,4.0300,4.0500,204822643,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-10,4.0500,4.0700,4.0200,4.0700,133047374,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-11,4.0700,4.0700,3.9000,3.9000,225530274,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-14,3.8900,4.0300,3.8400,3.9900,236050925,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-15,4.0000,4.0400,3.9600,4.0300,158593312,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-16,4.0100,4.0200,3.9200,3.9700,124063379,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-08-17,3.9500,3.9700,3.9100,3.9500,125444355,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
