time,open,high,low,close,volume,note
2023-04-12,75.3900,84.5000,73.7800,82.6900,39422530,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-13,81.0000,83.9500,75.1800,76.2200,30601158,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-14,78.1200,78.4500,73.1000,77.0400,25692358,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-17,76.5000,81.5000,75.2000,80.1300,23928710,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-18,79.0000,84.5000,76.1500,82.6000,30598442,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-19,82.0000,99.0000,82.0000,90.5500,47687417,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-20,93.8000,98.5000,91.4800,97.3000,38232090,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-21,95.1500,95.1500,88.1800,91.3900,30396102,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-24,91.3900,91.7400,84.5700,89.2700,26143439,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-25,89.0000,102.0000,86.7100,98.7500,38669637,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-26,97.0000,101.2900,88.7000,92.4900,34412708,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-27,90.0800,95.0000,84.3500,87.3000,30543673,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-28,87.0100,95.0000,86.5000,94.1500,27101882,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-04,92.6600,94.9700,88.9100,92.1500,17355077,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-05,92.0800,98.9900,89.3000,92.2400,23336494,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-08,91.8000,94.2000,85.8400,88.6600,17965549,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-09,88.6700,93.0000,85.8800,88.9000,17379548,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-10,87.2800,89.8600,76.8000,77.4900,33203166,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-11,77.7700,78.9500,75.5000,75.9500,17526488,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-12,75.9500,78.1800,74.4200,74.4200,13121997,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-15,75.0000,76.9800,72.5000,76.5000,15471458,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-16,76.0000,77.3900,74.0800,74.1700,14143355,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-17,73.8800,78.3900,73.6800,76.8300,15484682,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-18,78.0000,83.4100,77.8300,81.3300,21377588,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-19,82.1900,87.6800,80.9000,80.9000,19324060,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-22,79.8200,83.2600,76.6400,78.0100,14697707,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-05-23,77.4900,78.3500,76.3100,77.2700,7675101,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
