time,open,high,low,close,volume,note
2020-12-31,228.9000,235.0000,225.7700,231.1000,7824929,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-04,232.0000,232.8400,225.0100,230.0500,8717340,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-05,229.9900,253.0600,228.9000,253.0600,15532187,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-06,265.0000,268.8500,257.0100,264.0000,17278593,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-07,265.9700,273.0100,259.6000,269.3600,14019049,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-08,270.8800,273.5300,257.1000,266.0000,8708435,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-11,278.5000,291.8000,272.0000,276.2400,14912017,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-12,272.1200,289.1900,272.1200,289.1900,11744029,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-13,293.5200,293.6000,278.1600,286.4700,11153060,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-14,291.0000,300.8000,280.3200,281.7100,16005889,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-15,290.0000,301.8000,276.8700,286.0000,15661948,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-18,296.0000,314.6000,293.0000,314.6000,16540922,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-19,313.9900,324.5000,308.8400,314.8900,16779012,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-20,317.0000,321.9900,309.0000,321.0000,10265404,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-21,316.1800,322.0000,309.7800,319.6000,9905954,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-22,320.0000,328.0000,308.0000,322.5000,10002138,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-25,314.8400,326.8800,310.1000,322.0000,11067820,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-26,315.0000,316.0000,294.5000,301.1400,14956654,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-27,308.0000,312.8000,301.7700,310.1600,10720151,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-28,307.0000,307.0200,290.0000,290.1000,11231360,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-01-29,299.0000,300.4900,283.1700,289.5700,8270918,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-01,294.6000,296.0000,284.3000,287.5400,6196484,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-02,292.0000,302.0000,286.1500,298.9800,8518668,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-02-03,300.0000,300.9000,291.7800,292.0000,6537889,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
