time,open,high,low,close,volume,note
2021-05-13,154.0100,156.5000,150.7500,154.4000,1308408,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-14,151.8000,161.5900,151.8000,160.5000,1752413,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-17,163.9800,166.0000,158.2100,161.1000,1970561,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-18,163.9900,163.9900,154.1000,159.7700,1550256,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-19,158.9900,160.7100,153.5800,153.9700,1710600,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-20,153.6900,165.4900,153.6900,160.3800,3483472,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-21,161.0200,165.8000,159.1800,164.0100,2108080,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-24,165.0000,172.6800,159.0000,168.4800,3383797,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-25,169.2100,179.4800,165.8800,177.0100,3199808,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-26,176.2100,181.0000,175.3700,176.0000,1710750,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-27,175.2000,177.0000,169.3600,176.0300,2710564,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-28,173.0500,175.8000,162.4900,163.0000,4516018,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-31,162.9900,178.0000,162.4300,178.0000,4112367,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-01,173.2100,175.6000,168.2100,174.0000,3456585,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-02,174.9400,175.5000,166.8000,167.6000,2220271,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-03,167.0300,168.9300,163.3900,163.9600,1867603,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-04,163.9600,165.4500,158.6600,159.9900,2625484,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-07,160.3000,163.9400,159.2100,159.6500,3018073,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-08,160.0000,162.8000,156.0000,160.7000,2949952,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-09,160.7700,169.9900,158.6100,167.7100,3223316,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-10,169.5000,174.5500,168.3100,169.5000,3346631,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-11,169.5000,169.5000,163.0100,165.2800,3240239,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-15,165.2800,183.0000,165.0200,177.0100,5672149,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-16,178.9000,180.9900,170.6100,172.5300,3164053,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-17,171.3400,176.8000,169.8800,174.4300,3861971,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-18,175.7800,180.4200,169.3700,172.0000,5386414,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-21,168.5600,183.9500,168.2100,182.0000,4739322,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-22,180.5300,185.3500,178.4300,184.0000,3204050,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-23,186.0000,186.0000,181.0000,182.0000,4065395,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-24,181.0900,195.9800,181.0900,195.9200,4800676,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-25,195.0000,204.8800,191.0000,204.1000,4018999,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-28,203.0000,220.8000,202.8000,209.0700,5488071,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-29,211.6400,214.8300,205.3400,210.3300,3552607,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-06-30,209.7800,211.9600,205.6900,209.5000,2941685,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-01,209.5000,210.0000,196.0000,205.6000,4350868,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-02,204.0000,204.0000,186.0000,191.6000,5776173,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-05,190.0000,196.4400,188.0200,194.2000,4103010,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-06,195.0200,201.3200,191.5000,193.7500,3170612,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-07,192.8900,201.0000,192.0000,198.3600,3169763,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-08,199.8000,203.8400,198.0100,200.6000,4258845,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-09,200.2400,202.5100,190.8500,192.5600,3852582,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-12,193.6900,194.6400,177.0000,179.0000,8050288,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-13,179.4700,186.0000,177.2000,180.0000,3930293,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-14,182.0100,182.1400,173.2600,174.0100,2925826,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-15,173.0000,178.7500,170.8800,173.2900,2981711,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-16,175.5000,176.2000,169.2600,172.3700,2501465,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-19,172.0000,176.8500,169.2000,171.1500,2171732,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-20,170.0000,175.0000,169.5700,170.8500,1881388,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-21,171.4600,185.8900,171.0000,177.2800,4351859,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-22,179.5000,179.5000,165.5000,166.7500,5211293,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-23,167.0000,172.2000,159.8800,171.0000,4321887,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-26,167.0100,169.0100,154.3200,155.5000,6144054,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-27,157.7700,167.0000,156.0100,160.3000,5168409,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-28,160.0000,165.0000,158.5000,162.7000,2992539,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-29,164.2600,167.3700,161.0000,165.8200,3248747,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-07-30,164.2800,164.6400,159.7600,162.9000,2954428,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-02,162.3600,164.7800,156.7200,162.9300,3831706,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-03,162.9300,166.4900,158.2800,166.2200,3269001,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-04,165.0100,172.5000,162.2000,169.7500,4132607,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-05,169.0000,171.1700,166.1800,166.5500,2244990,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-06,166.0000,168.8800,159.0000,166.7000,3148228,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-09,164.6600,177.3300,163.3900,174.0000,4080472,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-10,174.9400,176.0600,168.5100,173.2700,2711655,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-11,171.3600,176.0000,170.1800,174.3000,2242647,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-12,174.3000,179.3000,173.0200,175.0300,2067100,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-13,174.2700,179.3400,170.6500,177.9800,2126521,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-16,178.0000,185.7400,174.0000,177.1500,2603925,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-17,177.1200,178.6000,166.0000,167.0000,2927214,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-18,167.4800,168.9500,164.0000,166.7600,2065394,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-19,166.9200,172.4500,164.1800,170.0700,1715554,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-20,169.0000,169.5800,159.2700,162.4000,3063515,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-23,162.4000,170.9900,160.1000,169.7000,2897193,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-24,171.4700,178.9500,169.7000,173.4000,2322848,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-25,175.0000,176.2800,158.0100,158.6000,4939913,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-26,160.0000,160.0000,146.5500,152.0000,6564929,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-27,151.8800,155.7900,149.8500,151.9800,2361674,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-30,152.0000,155.4000,145.6000,146.5700,2742713,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-08-31,145.5000,148.7900,139.8800,147.5000,3347108,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
