time,open,high,low,close,volume,note
2025-02-14,87.9900,105.5900,87.5000,105.5900,26431067,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-17,111.0000,118.2600,98.3500,100.0000,37498981,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-18,98.0000,103.0000,96.9500,98.0000,23449397,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-19,98.4300,107.0000,96.9500,102.2000,22218115,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-20,100.0000,105.5800,98.0000,103.6800,17633471,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-21,105.0000,122.7300,104.3100,119.5600,24575290,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-24,117.0000,118.2100,109.6200,113.0000,19988985,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-25,106.0000,112.5600,102.5100,111.0000,14777687,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-26,110.9800,118.6800,108.0000,115.5100,16114586,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-27,116.2700,119.4900,106.7100,109.9000,19153731,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-28,107.1400,109.9000,101.0000,102.0600,17368422,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-03,103.0000,104.5400,100.5100,101.5000,13382149,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-04,100.4300,106.0000,99.4500,104.0500,9890953,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-05,105.3500,111.2900,103.2000,109.3800,14864343,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-06,110.4900,128.9700,110.4900,125.2600,24891794,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-07,130.0000,142.0000,127.1100,131.5400,23523996,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-10,129.9800,130.8800,121.7200,121.9700,17659563,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-11,118.5500,120.0000,116.0000,118.4500,13800740,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-12,119.5100,121.7000,115.0100,115.9700,13247500,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-13,116.0000,116.5500,112.5500,115.2000,8659257,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-14,112.6300,116.0000,111.3300,114.4000,8814487,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-17,114.6800,114.8600,110.2500,111.9000,10634625,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-18,114.5400,118.0000,113.2800,113.6000,11060835,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-19,112.4900,112.5800,106.5600,107.3000,14964079,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-20,107.5300,110.5600,104.9800,108.5500,10907577,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-21,107.3600,108.5000,104.4700,104.4800,7492892,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-24,104.4800,105.4700,100.5000,103.1000,7165227,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-25,103.2000,105.2300,100.4900,101.1000,5614445,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-26,101.1000,102.1400,98.9400,100.1600,5954237,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-27,99.8400,107.1700,99.6000,103.6600,11183147,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-28,103.6600,106.5000,102.5000,103.0100,5276396,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-03-31,101.4900,107.6100,101.0000,107.1100,11039994,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-01,107.1300,109.0000,101.5000,102.0100,8989584,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-04-02,102.2000,104.5000,101.5100,102.3000,5601784,sz.300454 | 深信服 | baostock | adjustflag=3 raw
