time,open,high,low,close,volume,note
2020-01-21,444.0000,455.0500,438.6000,454.8000,1366631,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-22,450.0600,490.0000,435.1000,477.6400,2016882,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-23,470.9900,495.0000,451.8000,469.0000,1643180,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-03,422.1000,422.1000,422.1000,422.1000,317800,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-04,410.0000,441.9000,410.0000,427.0000,2029986,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-05,432.2600,432.2600,398.0000,401.8000,3142973,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-06,394.0000,426.0000,391.0000,421.9000,2303591,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-07,417.0000,429.9900,415.5500,428.0000,1471405,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-10,424.0000,426.0000,406.9500,411.8000,2031556,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-11,410.0000,426.7700,408.0000,420.2000,1420289,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-12,416.5000,428.9600,416.0000,419.0000,1301716,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-13,417.8400,460.9000,414.6100,460.9000,3344432,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-14,461.0000,485.5000,453.1200,463.0100,2583893,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-17,471.9900,485.6400,465.1300,477.9900,1957833,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-18,478.8000,525.7900,476.0000,525.0000,1841732,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-19,511.0000,549.0000,502.0000,520.0000,1746885,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-20,511.2000,565.0000,511.2000,551.0900,1673598,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-21,549.9000,606.0000,546.6800,603.9900,1680866,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-24,587.8100,659.4000,581.0000,650.0000,2068807,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-25,623.0000,686.5600,590.0100,675.1200,2529922,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-26,671.9000,718.0000,618.8300,640.0000,3079691,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-02-27,650.0000,664.0000,578.0000,586.0000,3406730,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
