time,open,high,low,close,volume,note
2021-12-09,177.3800,180.7000,173.1100,178.3900,4752057,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-10,177.2000,182.6600,176.8000,177.1200,5416186,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-13,180.3000,180.3000,174.4000,174.6000,3715896,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-14,176.3000,177.3400,173.4500,173.9000,3160754,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-15,174.5900,175.3600,158.2600,161.3100,6523948,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-16,160.4400,162.9800,154.0000,158.0000,11369972,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-17,165.8900,168.9900,156.0000,158.0100,7535584,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-20,158.0100,159.3000,144.3900,145.3400,9574588,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-21,145.8600,149.5000,145.5000,147.4700,3154304,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-22,147.4700,147.9500,143.1100,146.0600,4477688,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-23,147.1900,147.8700,142.8900,144.0000,3463636,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-24,144.0000,146.6400,140.5000,141.4200,3155185,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-27,140.9500,143.2000,140.0100,143.0000,2485958,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-28,142.8700,148.3000,140.7800,146.4100,5006530,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-29,145.3100,150.8600,143.9600,145.0000,4688650,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-30,144.0600,145.8600,142.0000,143.0000,4388996,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-31,143.8800,145.5000,140.0600,141.2700,6548846,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-04,138.0000,138.0000,129.2000,133.1600,10207566,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-05,133.1000,133.7800,129.4800,130.4000,4759881,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-06,130.4100,131.7000,128.8000,129.8000,3787950,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-07,131.1000,131.1000,125.2000,125.6100,5957071,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-10,125.5000,129.4600,123.4000,128.4500,5395861,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-11,128.3000,132.4400,127.0000,130.9000,6684101,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-12,131.5000,139.8100,130.1200,135.0100,6888227,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-13,135.1700,139.0000,132.2100,135.3400,4736377,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-14,134.4000,135.4900,132.3200,133.1000,3082518,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-17,134.1500,134.4600,130.5500,132.2000,3408427,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-18,132.1400,139.0000,131.0100,138.0900,5680432,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-19,137.8100,138.3700,129.8000,130.2000,5791478,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-20,130.2800,131.4900,126.6000,127.9100,3124242,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-21,127.9100,127.9600,123.4100,124.2800,2883671,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-24,124.0600,131.3000,123.4000,130.8000,6690434,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-25,131.5000,135.2900,130.4400,130.4900,4714379,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-26,128.0000,128.5800,119.0300,119.9800,8596904,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-27,119.0000,126.3500,118.8000,121.0500,6655293,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-01-28,121.5000,123.2900,118.0200,118.2400,3202164,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-07,120.2000,123.4800,119.5000,121.1800,5758179,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-08,119.0000,119.0000,103.3500,113.0100,10297574,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-09,114.1300,114.2900,108.0000,111.9200,7043619,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-10,111.5000,112.5000,108.0000,108.7600,5224314,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-11,108.5000,110.5000,104.9900,105.4900,3800238,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-14,107.0000,110.8000,105.7700,107.1400,5828721,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-15,109.1100,119.1900,107.3000,118.0500,10759258,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-16,117.9900,120.2000,116.2000,116.9800,6208671,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-17,117.6200,120.8500,115.8000,118.5000,6371590,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-18,118.5100,118.9000,115.6700,116.9700,3865282,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-21,119.0000,119.0000,113.5100,115.5600,4191626,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-22,117.5000,117.5700,111.9900,113.9000,2395580,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-23,114.9000,117.1800,113.7600,116.6200,2428778,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-24,116.6800,120.0000,114.9000,116.2400,4292514,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-25,118.2000,125.1000,118.2000,122.0100,6627035,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-02-28,121.3100,124.5700,120.6100,121.2300,4061949,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-01,121.3000,126.3000,119.8400,124.8800,4736860,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-02,124.0400,124.0400,116.7000,117.4200,5251754,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-03,118.2400,119.2000,113.3000,114.5400,4540690,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-04,113.2000,117.5100,113.0000,114.5000,3001048,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-07,114.4700,114.4700,107.5000,108.0000,5767723,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-08,109.6000,112.7100,106.4000,106.7600,4136087,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-09,107.0000,108.3000,98.4100,101.7000,5370873,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-10,105.2000,107.7800,103.1000,105.1900,3872204,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-11,103.0100,109.3000,102.9000,106.8000,6876143,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-14,105.8600,108.3800,103.0100,103.7100,4968338,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-15,101.6400,105.5000,99.3000,100.3300,5821734,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-16,101.9000,104.6700,96.7000,104.0500,6668313,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-17,106.5000,111.1300,105.0100,107.1800,6858287,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-18,106.6400,107.3100,104.0800,106.1700,3104852,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-21,106.6300,108.3600,104.6000,105.8800,3399613,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-22,105.5200,106.4000,103.2400,104.4900,2473194,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-23,104.0300,112.0000,103.9500,111.2000,9209947,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-24,109.9100,120.6000,106.6100,118.1100,11878549,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-25,116.7100,119.0000,115.1000,115.4000,7136411,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-28,115.9000,118.8000,114.3000,114.7800,6207648,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-29,115.4500,120.8000,114.0000,116.5000,9406793,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-30,117.0000,120.3700,116.6400,118.7700,5183535,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-03-31,118.2000,124.5000,117.7100,118.0000,6319136,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-01,117.0000,119.6600,114.8000,117.4000,5381413,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-06,117.4000,119.1800,114.6600,115.0000,4926901,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-07,114.3800,117.9900,113.6000,114.0100,3467006,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-08,113.9000,114.5000,110.4000,111.4000,5245912,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-11,110.8000,111.5700,108.6100,109.3500,3115044,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-12,109.4200,118.2900,109.3600,117.0800,5379524,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-13,115.9800,116.6000,111.9200,113.0000,5011605,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-14,113.5000,120.3700,110.8000,115.9000,5189706,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-15,116.5000,126.8000,115.0100,120.1600,6146713,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-18,119.6100,123.8400,119.0000,123.5000,4298715,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-19,122.9700,122.9700,116.3300,119.4400,5388582,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-20,119.0000,119.2400,113.7000,117.7700,4766651,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-21,116.5000,121.9300,116.3000,118.8300,5769397,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-22,118.4100,122.4800,117.4100,121.3400,3781641,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-25,118.6300,118.9000,113.8000,113.8000,3980289,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-26,114.9900,122.0000,114.5600,119.6100,4528062,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-27,117.9100,123.5000,116.9100,122.3800,4823145,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-28,121.1800,128.5700,118.8100,128.0900,5941137,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-04-29,119.0100,129.1200,119.0100,125.2000,7684615,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-05,121.3800,124.8000,115.3000,116.8000,6928987,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-06,114.9400,116.5000,107.3000,114.9500,5803934,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-09,112.6000,112.6000,108.7500,108.9600,2981662,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-10,107.4000,111.4000,105.8000,109.4900,3876810,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-11,109.2000,119.8000,108.5000,115.5000,6072332,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-12,115.3400,116.5000,113.9800,115.2400,2606122,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-13,115.9700,117.3800,113.3300,114.6200,2193719,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-16,115.6000,117.3500,111.5000,111.6700,2505114,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-17,111.7500,113.7800,111.5000,111.8500,2168343,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-18,112.3000,113.9700,109.6000,112.0600,2387279,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-19,110.4900,111.4900,109.1200,110.4700,1907495,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-20,110.6500,115.5500,110.6500,113.7800,3270782,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-23,114.0100,114.7600,111.8000,112.0100,1929816,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-24,111.9900,112.2000,108.5000,109.7000,2650877,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-25,109.6900,110.7000,107.5100,109.1600,1671599,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-26,109.7000,109.7000,105.5000,106.1200,2096096,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2022-05-27,108.0000,117.5600,108.0000,111.9000,5881332,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
