time,open,high,low,close,volume,note
2024-03-04,1679.0000,1680.9900,1670.0500,1676.3000,2648477,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-05,1670.8100,1697.0000,1666.6800,1695.1000,3623837,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-06,1691.0000,1695.0000,1678.0200,1680.5500,2214248,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-07,1680.0000,1689.8000,1678.0000,1683.6300,2159912,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-08,1680.5600,1686.6800,1670.0500,1671.4300,2215623,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-11,1675.0000,1698.8800,1673.1800,1694.4900,2989509,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-12,1693.9400,1749.1000,1690.5000,1745.0000,5422654,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-13,1739.9700,1748.0000,1720.1000,1727.4500,2649954,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-14,1719.0000,1734.8400,1711.5000,1716.6300,1940479,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-15,1712.5000,1732.4000,1712.0000,1717.4900,1783358,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-18,1715.0000,1719.8500,1699.0000,1708.2600,2605501,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-19,1703.0000,1719.9400,1693.1100,1708.0200,2394753,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-20,1703.3600,1713.6800,1700.2300,1709.6000,1524925,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-21,1708.1000,1719.0000,1704.5000,1709.0000,1659597,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-22,1705.0300,1708.9900,1688.0000,1701.3500,2545614,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-25,1698.5400,1698.7700,1680.5800,1689.0100,2447285,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-26,1687.4600,1712.8000,1687.4600,1709.2900,2806907,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-27,1705.0000,1712.0000,1699.0000,1701.0000,1811258,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
