time,open,high,low,close,volume,note
2018-08-31,42.1300,42.1300,40.6000,41.3000,3495121,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-03,41.3000,42.6500,40.5000,42.3800,5141412,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-04,42.7000,44.2300,42.2100,43.9200,8221806,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-05,43.5000,44.0700,42.8300,43.9000,6354350,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-06,43.7100,44.6000,43.2000,43.6000,7210269,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-07,43.6000,44.8300,42.1400,42.1900,6653367,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-10,42.3400,43.8000,41.7200,42.0400,4380753,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-11,42.3000,42.8200,41.3500,42.7000,5419289,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-12,42.4900,43.5100,42.4900,42.9000,4696162,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-13,43.2000,44.0000,42.6100,43.9900,5515943,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-14,43.9000,43.9000,41.9200,42.5000,7255165,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-17,42.3800,42.8000,41.5100,42.2100,4219834,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-18,42.0900,43.5000,41.8200,43.4600,4004088,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-19,43.1100,46.0000,43.0000,45.3800,6567141,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-20,45.3000,45.4600,44.3600,44.9000,3736796,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-09-21,44.7900,45.0900,44.0000,44.9600,4306226,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
