time,open,high,low,close,volume,note
2018-07-20,25.9700,26.0500,25.3500,25.9000,9944315,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-23,26.0000,27.0400,25.8900,27.0300,22040661,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-24,27.1100,27.1900,24.7000,25.3600,31726798,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-25,25.2500,26.2500,25.2500,25.8000,16393721,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-26,25.6700,25.9200,24.5600,25.0400,15111196,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-27,24.9900,25.2500,24.6100,24.8000,7316279,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-30,25.1000,25.2000,24.4300,24.5200,10922424,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-31,24.7000,24.7300,23.6000,24.2200,13738048,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-01,24.2000,24.9300,24.1000,24.4800,11749366,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-02,24.3500,24.5000,23.6600,23.9400,11535064,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-03,23.9800,24.0900,23.0000,23.2000,12259778,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-06,23.4000,23.5900,22.4700,22.5900,14487250,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-07,22.4000,23.6000,22.3500,23.5000,14626412,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-08,23.3900,23.7400,23.1500,23.4000,6896865,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-09,23.4000,24.4700,23.1200,24.2200,9947963,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-10,24.3800,24.6600,23.6800,23.8500,8485830,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-13,23.4500,24.9500,23.3100,24.8300,13591528,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-14,24.7600,24.8600,24.1900,24.4500,8226447,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-15,24.4500,24.4800,22.9100,23.3800,16852261,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-16,23.0000,23.9300,22.8000,23.5400,9617344,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-17,23.8800,24.1600,23.2300,23.3400,6214522,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-20,23.1300,23.7200,22.4200,23.4000,11968768,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-21,23.6000,24.3000,23.1900,24.1100,9274432,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-22,24.1200,24.1800,23.7400,24.0200,5452207,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-23,24.1200,24.5400,23.8200,24.1600,6865033,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-24,24.0500,24.2600,23.6200,24.0000,4317835,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-27,24.2400,24.9300,24.0600,24.6800,10452830,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-28,24.6700,25.0900,24.5200,24.7800,6126908,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-29,24.8900,25.3500,24.7800,25.1000,10448425,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-30,25.1900,25.1900,24.2200,24.4900,7905089,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-08-31,24.3300,24.5900,24.0600,24.1300,5283397,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-03,24.0500,24.7000,23.5400,24.5000,9837043,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-04,24.5500,24.7900,24.0600,24.6400,6807351,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-05,24.4600,24.4600,23.1500,23.2200,18178244,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-06,23.0000,23.0500,20.9600,21.8600,35596683,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-07,22.0800,22.5000,21.1100,21.2000,18408014,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-10,21.3200,21.5600,20.9000,20.9700,9760452,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-11,21.1900,21.1900,20.6200,20.9400,10194021,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-12,20.9400,21.1800,20.4500,20.6500,6884514,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-13,20.7600,21.1400,20.7000,20.9800,8323127,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-14,21.0900,21.0900,18.9000,19.9200,24440863,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-17,20.0800,20.2800,19.7200,20.1400,9239826,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-18,20.2400,21.1200,20.0000,20.7500,12080265,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-19,20.7200,21.6300,20.6100,21.2600,12468360,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-20,21.2000,21.5200,21.2000,21.3200,3991757,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-21,21.4500,21.9600,21.1700,21.7200,8847370,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-25,21.6700,21.7300,20.6000,20.9600,11794743,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-26,21.0200,21.6500,20.9600,21.3800,13906015,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-27,21.4000,21.5000,20.1000,20.7100,17059438,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-09-28,20.8900,21.0900,20.0900,20.7900,12188582,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-08,20.5900,20.7000,19.7000,19.8500,11120785,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-09,19.9000,20.0700,18.8100,18.8200,16648308,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-10,19.0900,19.3400,18.8400,19.1800,8956758,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-11,18.5000,19.1800,18.2800,18.5900,10388333,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-12,18.6500,19.1700,17.7000,18.8400,13551125,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-15,19.0000,19.2300,18.4800,18.6800,8458570,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-16,18.4800,18.6600,17.5100,17.7900,12074770,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-17,17.9000,18.1800,16.6700,17.5000,11623488,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-18,17.3500,18.0800,17.2500,17.8600,12596096,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-19,17.8100,19.1700,17.8100,19.0000,12547329,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-22,19.7200,20.1000,19.3800,19.6200,16462792,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-23,19.8500,19.8700,18.9100,18.9700,8201291,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-24,18.7500,19.5600,18.6800,19.1500,7702608,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-25,18.6900,18.8700,17.8600,18.5300,11650642,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-10-26,18.6300,18.8000,18.3000,18.7000,6626142,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
