time,open,high,low,close,volume,note
2025-09-30,88.7200,93.2300,87.6000,92.5700,33806656,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-09,94.2000,99.8600,91.5000,98.0000,34060660,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-10,96.0000,96.1000,87.3900,88.9900,32071756,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-13,83.8800,87.8800,83.0300,86.6900,19774882,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-14,88.0000,92.0000,87.5000,87.9000,25410495,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-15,80.0000,82.8200,76.0200,81.2500,31724878,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-16,80.5000,83.3800,79.7600,79.7600,20395122,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-17,78.7600,79.6400,75.1500,75.2900,20800519,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-20,76.5000,77.4200,75.5300,76.3800,13467430,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-21,76.7800,77.8300,75.9000,77.3300,11600296,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-22,76.6000,77.9600,76.0900,76.8500,8286537,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-23,76.6800,77.5000,74.8600,77.3000,10696853,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-24,77.6900,79.5000,77.4500,79.1500,14551495,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-10-27,80.0000,80.3600,76.7500,77.7800,17001380,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
