time,open,high,low,close,volume,note
2025-12-17,28.9500,29.4900,28.5700,29.4400,3294425,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-18,29.2900,29.3900,29.0000,29.1800,1848424,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-19,29.2500,29.8000,29.2500,29.6300,2809544,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-22,29.7000,29.9800,29.5500,29.6000,2767260,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-23,29.5300,29.6800,28.9200,28.9800,3102565,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-24,28.9800,29.5500,28.8500,29.4800,2487496,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-25,29.4000,29.8300,29.3800,29.7500,2771035,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-26,29.7800,30.2200,29.6200,29.9500,3560771,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-29,30.0000,30.3800,29.8100,29.8800,3379776,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-30,29.8700,30.0300,29.6400,29.7000,3417055,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-31,29.7800,30.4600,29.6800,30.1100,4940536,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-05,30.2600,30.6300,30.1500,30.5600,5174887,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-06,30.6700,30.8000,30.4000,30.7000,4995565,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-07,30.7500,30.8500,30.3900,30.5000,4526368,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-08,30.5300,31.0000,30.3200,30.9000,4810383,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-09,30.9000,31.1900,30.7100,31.1500,5551875,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-12,31.3700,32.9800,31.3600,32.8700,11669521,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-13,32.9000,33.1300,31.5000,31.7800,9853462,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-14,31.7800,33.2200,31.7600,32.7900,13798231,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-15,32.6000,32.9800,31.9000,32.5000,8059444,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-16,32.5200,32.6000,31.8000,31.8400,5831725,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-19,31.8400,32.3500,31.6600,31.9300,5204152,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-20,31.9000,32.1500,31.3100,31.5500,5969852,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-21,32.0000,32.2700,31.7200,32.0800,5617303,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-22,32.0800,32.2700,31.6900,31.8100,4391480,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-23,31.8000,32.3400,31.8000,32.2800,5317245,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-26,32.1800,32.4500,31.5300,31.6000,5291214,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-27,31.6000,31.7300,30.9700,31.5000,3790051,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-28,31.4200,31.8400,31.1800,31.2600,3951804,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-29,31.1400,31.9700,30.8000,31.2900,4814012,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2026-01-30,31.2800,31.2800,30.1400,30.5900,4944007,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
