time,open,high,low,close,volume,note
2026-06-08,5.1000,5.2500,5.0500,5.1400,156155641,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-09,5.1600,5.1900,5.0100,5.1800,144687180,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-10,5.1600,5.1600,5.0100,5.0700,136936797,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-11,5.0400,5.1300,5.0100,5.0700,104223501,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-12,5.0800,5.1600,5.0300,5.1200,124191625,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-15,5.1500,5.1500,5.0300,5.0600,119428600,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-16,5.0600,5.0900,4.9400,4.9400,141448504,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-17,4.9400,4.9700,4.8500,4.9600,105098913,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-18,4.9200,4.9800,4.7600,4.7700,120021063,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-22,4.7500,4.8000,4.6900,4.7800,98317264,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-23,4.7600,4.8900,4.7400,4.7600,101869404,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-24,4.7700,4.7800,4.6500,4.6800,84290538,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-25,4.6700,4.7100,4.6300,4.6500,75866511,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-26,4.5300,4.6100,4.4600,4.4600,92477506,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-29,4.4300,4.5400,4.3400,4.5300,102912471,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-30,4.5200,4.5400,4.4000,4.4500,87789487,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-07-01,4.4200,4.6500,4.4200,4.5800,102664654,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-07-02,4.5700,4.6500,4.5000,4.5600,90617829,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-07-03,4.5700,4.5800,4.5100,4.5400,67215200,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-07-06,4.5300,4.5600,4.4700,4.5400,65345466,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-07-07,4.5400,4.5400,4.4400,4.4500,61361530,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-07-08,4.4400,4.4900,4.4200,4.4600,39036193,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-07-09,4.4700,4.4700,4.4000,4.4300,48281683,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
