time,open,high,low,close,volume,note
2020-07-24,58.6600,60.9600,55.7100,56.0800,62255269,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-27,57.0000,57.9000,53.9500,55.0700,38209137,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-28,56.0500,56.7800,55.2500,56.7500,29841044,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-29,56.6000,58.4400,55.0600,58.1100,32142077,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-30,59.0000,59.2800,56.9500,57.8100,32583044,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-31,57.8100,60.9500,57.7500,60.2000,52247510,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-03,61.5100,61.8500,59.5900,60.3800,34047385,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-04,60.3000,61.3000,57.8800,58.3000,37518634,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-05,58.3300,58.8100,57.4400,58.3600,22694296,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-06,58.5600,58.7100,55.4900,55.8100,36676192,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-07,55.9500,56.7800,52.8900,54.3200,33823403,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-10,54.0000,54.1900,52.3700,53.2500,26080263,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-11,53.9000,54.7000,52.5100,52.6400,23586499,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-12,52.8400,53.0900,48.5000,50.9700,46878330,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-13,52.0000,52.0300,49.9200,50.3900,22128441,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-14,50.7700,52.2800,50.1000,52.2400,28036303,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-17,52.5000,53.5300,50.5000,53.4200,35814558,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-18,53.4200,53.4200,52.1100,52.5600,21877517,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-19,52.1100,52.2000,49.9900,50.0900,24926270,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-20,49.0900,50.0800,48.4000,48.5800,25008412,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-21,49.1500,51.0800,49.1500,49.6200,25228019,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-24,50.4600,53.6500,49.6600,52.6400,42922987,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-25,53.0000,56.5800,52.8000,53.8800,50643972,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-26,54.4000,54.4900,49.8000,50.4300,45372936,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-27,50.7000,51.2000,48.4200,50.1200,31800242,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-28,49.8000,50.8000,48.9000,50.4800,21505161,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-08-31,50.6500,51.0900,49.0000,49.0100,29999698,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-01,48.9000,50.2800,48.1000,49.7400,28610061,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-02,49.7000,51.1900,49.2000,50.3600,23094273,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-03,50.4000,52.8900,50.0100,51.8400,40230688,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-04,50.3000,50.6900,49.3000,50.4000,24780592,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-07,50.2600,50.5200,47.5100,47.9700,31176720,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-08,47.6300,48.1800,45.6000,46.4700,27204795,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-09,45.5000,45.6800,43.7000,45.0800,28778205,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-10,45.7000,47.1400,44.5200,44.7900,23654176,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-11,44.8200,47.2000,44.8200,46.8200,23265237,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-14,47.3300,49.0500,47.0000,48.3600,27155146,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-15,48.9000,49.4400,48.2000,48.8000,20550956,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-16,49.1000,49.3600,48.2000,48.6900,14385075,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-17,48.6900,50.4400,47.6800,49.4900,25685030,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-18,48.9500,49.8900,48.6000,49.4000,14561138,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-21,49.8600,51.2000,49.4100,49.4100,18059550,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-09-22,49.2000,49.2000,48.0000,48.1200,11990804,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
