time,open,high,low,close,volume,note
2023-03-14,46.9900,47.0700,46.0700,46.4600,10344606,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-15,46.8000,47.6000,45.9400,46.0900,11350527,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-16,45.7000,46.0900,44.9300,45.1600,11281600,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-17,45.6600,47.9900,45.6600,47.2500,23045718,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-20,47.0500,47.7500,45.0800,45.1900,17716904,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-21,45.5800,46.1100,44.8000,45.3200,13740151,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-22,45.6800,45.6800,44.5800,44.9000,17000495,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-23,44.6000,46.0200,43.5100,45.9300,24331595,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-24,45.8700,47.5000,45.3400,47.4000,29597020,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-27,47.2000,52.1400,47.2000,50.6000,66468546,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-28,49.8700,50.1200,48.4000,49.0000,28805528,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-29,49.6100,50.1400,48.2500,48.9300,22249146,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-30,48.6000,49.0800,47.6900,48.3800,15661507,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-31,48.2100,53.2200,47.5000,53.2200,52244804,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-03,54.0000,58.1800,53.8800,57.5700,83971770,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-04,58.7200,59.1000,55.6900,57.2100,59337113,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-06,54.8100,55.2000,51.5900,52.8100,63675448,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-07,52.7000,54.3900,51.6100,53.2000,34659967,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-10,53.2000,53.4600,48.7600,49.0000,58294151,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-11,49.0000,49.9400,48.4200,49.1800,36534702,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-12,49.3200,51.5300,49.2000,50.6000,39781841,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-13,51.0000,53.3000,50.6000,50.8700,49412155,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-14,50.6800,51.2200,49.5400,50.5000,20685995,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-17,50.3900,50.9900,49.2600,50.0900,21281122,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-18,50.0000,51.1400,49.5300,50.0100,22315785,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-19,50.0000,52.4100,49.7700,51.1100,33200166,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-20,51.3800,52.8800,48.2100,50.0600,50760333,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-21,50.0700,51.4500,48.9000,49.1600,29741949,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-24,48.8800,49.3000,46.9000,47.4400,26110638,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-25,47.2500,48.1800,46.2700,46.7000,28575174,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-26,47.1000,47.5500,45.4000,45.6000,23463902,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-27,45.1100,46.3800,44.5500,45.9900,21826781,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-04-28,46.6000,49.6200,46.6000,49.4000,41186209,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-04,49.6100,49.6100,46.1300,46.8000,31288706,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-05,46.4600,48.0500,46.1900,47.2200,21217266,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-08,47.2200,47.4700,45.7200,46.8600,24445974,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-09,46.5000,48.3800,46.1200,46.4400,21408839,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-10,46.0000,47.2000,45.8900,46.2500,13871457,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-11,46.2600,46.5700,45.2800,45.3000,15947259,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-12,45.0100,45.4300,44.7500,44.8900,12379715,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-15,44.8900,44.9100,43.0000,44.1400,26399667,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-16,44.3000,44.3900,42.1600,42.4500,32504309,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-17,42.3100,43.3400,42.2000,42.5600,16991825,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-18,42.8800,43.8700,42.6900,43.0700,17707589,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-05-19,43.0000,43.1300,42.1300,42.7800,14979007,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
