time,open,high,low,close,volume,note
2025-12-10,609.0600,620.0000,589.5000,616.0000,30209433,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-11,610.0000,627.1100,585.9100,586.8100,36353125,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-12,587.0000,603.8800,570.2200,582.0000,46878924,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-15,570.0000,588.0000,568.0000,570.8600,30098736,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-16,568.8000,575.0000,545.0100,551.7900,27970237,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-17,557.0000,592.0700,556.6600,589.9800,32357008,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-18,576.9900,579.8700,563.4300,571.2000,24162887,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-19,583.3400,587.0000,570.2800,571.7000,22442914,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-22,590.0100,622.0000,590.0100,617.5000,39441167,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-23,625.0000,628.9900,614.0000,621.0000,23364201,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-24,627.6400,638.0000,617.6000,634.4000,23509126,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-25,645.0000,658.8000,618.4100,639.8000,25938711,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-26,628.3000,636.9500,618.0000,627.0000,21376184,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-29,627.6400,633.6900,612.7300,618.0000,24112583,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
