time,open,high,low,close,volume,note
2025-12-26,128.8300,130.9800,128.2800,130.3200,3628887,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-29,129.9600,130.2800,127.6100,127.6700,3287263,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-30,127.5000,128.4000,126.8200,127.1100,2885434,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-31,127.2600,128.2000,124.6100,125.5000,4838525,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-05,125.5000,132.8000,125.2500,132.7900,9004760,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-06,132.7900,135.4900,132.0100,133.9900,7527900,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-07,135.0000,137.2200,133.0000,134.1900,6260525,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-08,133.3900,136.1000,133.0000,134.0200,5024151,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-09,135.0800,138.2800,135.0000,137.4100,6741560,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-12,140.0600,144.9600,140.0600,141.6800,10956319,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-13,144.0000,148.0000,141.6000,142.2700,15110872,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-14,142.3000,150.9900,142.1700,144.8800,16652467,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-15,144.9000,144.9000,139.0000,139.6000,11819206,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-16,139.7900,140.6000,136.3000,136.8300,11552263,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-19,136.3700,137.5800,133.8600,134.3600,7933195,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-20,135.0000,135.3800,131.6000,131.9300,9003879,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-21,132.1500,134.2300,131.2800,132.4400,7917967,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-22,132.4400,133.6800,131.8800,132.0600,7072843,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-23,132.2000,135.1800,132.2000,133.5200,8664846,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-26,135.3000,135.8000,132.6800,133.9500,9575784,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-27,134.0100,134.7000,131.7000,132.0800,7868489,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-28,132.5800,132.5800,128.0100,128.0100,11507017,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-29,127.8000,132.4800,127.1100,131.1000,9268211,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-01-30,131.4000,131.6700,128.7000,129.3000,5941186,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-02,128.5000,130.5200,126.6800,126.9100,4823973,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-03,126.9200,128.2900,126.2500,127.6300,5533366,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-04,127.4100,129.9600,126.7000,129.9500,5412818,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-05,130.0000,131.6600,128.8000,129.4100,4303004,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-06,129.4100,129.8000,127.8100,128.5000,3266039,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-09,129.6300,129.6300,128.2100,128.9200,3882548,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-10,128.8500,129.4800,127.7000,128.6700,3992449,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-11,128.9700,129.5800,128.0000,128.5100,3147866,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-12,128.5200,128.7700,126.7300,127.2200,4308618,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-13,127.2300,127.9800,126.0000,126.0000,3901331,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-24,127.1700,127.2600,125.2000,127.0800,3299412,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-25,127.0800,128.5500,126.3200,127.4500,3820379,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-26,131.6000,133.5300,129.8000,131.0000,10605297,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-02-27,130.9900,131.3200,129.5100,130.7000,4437790,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2026-03-02,128.5000,129.9700,127.6800,127.9000,5428865,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
