time,open,high,low,close,volume,note
2019-10-16,87.8000,89.7100,87.6000,88.2300,8641356,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-17,88.6000,90.2100,87.2800,89.9000,9612960,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-18,89.9000,90.2500,87.8000,88.5000,8436108,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-21,87.9100,89.0000,83.8000,85.2500,9155049,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-22,85.4000,86.8200,84.6900,86.0500,5959025,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-23,85.6000,86.3900,84.1800,84.3900,5436281,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-24,84.1600,84.6800,81.8100,82.7000,6643504,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-25,83.5000,84.3300,82.8200,83.1800,6529264,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-28,83.8300,86.0000,83.6500,85.4900,8746832,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-29,85.2000,86.9900,85.2000,85.8800,5569157,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-30,85.9000,86.3300,84.3000,85.5200,5784936,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-31,89.3000,94.0700,89.3000,94.0700,24145811,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-11-01,93.8100,94.7100,92.4200,94.4600,14517981,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-11-04,95.2200,98.5000,95.2200,97.1000,11675174,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-11-05,96.7900,96.8500,94.7100,95.4700,8909697,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-11-06,95.8000,96.7600,94.0000,94.7400,5809972,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-11-07,95.3000,96.2000,94.2200,95.3000,6465090,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-11-08,96.2000,96.8900,94.3500,94.7000,8813697,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-11-11,94.4400,95.1000,91.8800,92.6900,7676908,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-11-12,93.5900,93.5900,91.1100,92.5800,7651455,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-11-13,92.4000,98.1500,92.4000,96.2500,12159692,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
