time,open,high,low,close,volume,note
2022-08-12,4.4400,4.4600,4.4200,4.4400,9748451,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-15,4.4500,4.4600,4.4200,4.4300,7439957,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-16,4.4500,4.4500,4.4100,4.4200,6770253,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-17,4.4400,4.4400,4.4000,4.4300,6397080,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-18,4.4300,4.4400,4.3900,4.4100,7940026,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-19,4.4200,4.4400,4.4000,4.4100,10032165,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-22,4.4100,4.4300,4.3900,4.4300,8377001,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-23,4.4300,4.4300,4.3900,4.3900,5918815,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-24,4.4100,4.4100,4.3100,4.3100,11799084,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-25,4.3200,4.3400,4.3000,4.3200,8949231,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-26,4.3400,4.3600,4.3100,4.3500,8652928,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-29,4.3300,4.3900,4.3200,4.3700,7622441,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-30,4.4000,4.4400,4.3800,4.4400,14881080,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-31,4.4200,4.4600,4.4000,4.4300,13921537,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-01,4.4000,4.4300,4.3300,4.3300,11160087,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-02,4.3600,4.4200,4.3500,4.4100,10608119,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-05,4.4200,4.4300,4.3800,4.4100,7918368,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-06,4.4300,4.4400,4.4000,4.4300,8881305,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-07,4.4300,4.4400,4.4000,4.4300,6832141,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-08,4.4400,4.4400,4.4100,4.4400,9742906,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-09,4.4400,4.4700,4.4100,4.4600,15669586,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-13,4.4600,4.4700,4.4200,4.4400,10368779,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-14,4.4000,4.4300,4.3800,4.3900,9373543,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-15,4.4000,4.4200,4.3600,4.3700,11330655,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-16,4.3700,4.3900,4.2500,4.2500,15807472,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-19,4.2700,4.2800,4.2000,4.2000,9416720,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-20,4.2300,4.2500,4.1900,4.2000,8627279,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-21,4.2000,4.2500,4.1600,4.2400,7652191,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-22,4.2200,4.2500,4.2000,4.2000,7364648,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-23,4.2400,4.2700,4.1800,4.2400,10189018,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-26,4.2200,4.2400,4.1700,4.1800,9701960,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-27,4.1900,4.2300,4.1700,4.2200,6765802,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-28,4.2200,4.2200,4.1500,4.1700,9536126,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-29,4.1700,4.2200,4.1200,4.1300,7688547,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-09-30,4.1200,4.1900,4.1200,4.1500,7566925,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-10,4.1300,4.2400,4.1300,4.1500,8909369,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-11,4.1700,4.2200,4.1600,4.2200,8254806,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-12,4.2200,4.3000,4.2000,4.2800,10380929,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-13,4.2800,4.3200,4.2500,4.3100,9954991,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-14,4.3300,4.3500,4.3100,4.3200,9499031,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-17,4.3000,4.4000,4.3000,4.3700,11869450,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-18,4.4100,4.4100,4.3300,4.3500,8832464,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-19,4.3500,4.3800,4.3300,4.3400,7435217,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-20,4.3200,4.3900,4.3200,4.3700,9859044,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-21,4.3600,4.4200,4.3600,4.4100,12419567,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-24,4.4000,4.4600,4.3200,4.3700,14534519,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-25,4.3900,4.4000,4.3300,4.3800,9958367,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-26,4.3500,4.4500,4.3500,4.4300,13706523,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-27,4.4500,4.4600,4.4000,4.4100,12399058,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-28,4.4200,4.4300,4.3100,4.3100,13607580,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-10-31,4.4400,4.6100,4.4300,4.5300,40310736,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-01,4.5100,4.5600,4.4700,4.5500,26047773,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-02,4.5500,4.5600,4.5000,4.5300,16185851,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-03,4.5200,4.5600,4.4900,4.5400,13774132,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-04,4.5400,4.6000,4.5400,4.5700,15182898,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-07,4.5700,4.5800,4.5200,4.5200,14426880,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-08,4.5500,4.5500,4.4800,4.5200,12255742,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-09,4.5200,4.5400,4.4900,4.5100,8899912,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-10,4.4900,4.5300,4.4700,4.5100,10042058,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-11,4.5600,4.5800,4.5300,4.5500,17318340,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-14,4.5500,4.6100,4.5500,4.5800,18380361,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-15,4.5900,4.6000,4.5400,4.5600,16681976,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-16,4.5600,4.6000,4.5500,4.5500,9573062,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-17,4.5500,4.6000,4.5400,4.5900,12608019,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-18,4.5800,4.6100,4.5600,4.5600,12693285,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-21,4.5700,4.5700,4.5100,4.5200,10818997,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-22,4.5200,4.7400,4.5200,4.6000,31863741,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-23,4.5800,4.7600,4.5600,4.6800,43420115,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-24,4.6400,4.6700,4.5500,4.5600,25561928,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-25,4.5800,4.7100,4.5600,4.6800,27996254,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-28,4.6500,4.6700,4.6000,4.6500,19895589,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-29,4.6500,4.7200,4.6300,4.7000,21455952,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-11-30,4.6900,4.7200,4.6600,4.7000,30893059,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-12-01,4.6800,4.7400,4.6700,4.6700,15768286,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-12-02,4.6600,4.6800,4.6300,4.6700,12944537,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-12-05,4.7000,4.8900,4.6900,4.8500,55714171,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-12-06,4.8000,4.9000,4.8000,4.8500,31418930,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-12-07,4.8500,4.8500,4.7700,4.7900,19105576,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-12-08,4.8000,4.8100,4.7100,4.7400,18109476,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-12-09,4.7500,4.8000,4.7300,4.7900,27903667,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-12-12,4.8000,4.8000,4.7100,4.7200,18111718,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-12-13,4.7200,4.7600,4.7100,4.7400,13089295,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-12-14,4.7400,4.7500,4.7000,4.7100,10720730,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-12-15,4.7100,4.7200,4.6600,4.6900,10678652,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
