time,open,high,low,close,volume,note
2021-03-17,219.2500,223.1300,217.5000,219.9800,1196517,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-18,220.8500,220.8500,214.0800,218.2000,1090798,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-19,215.2400,219.9600,213.1800,213.6600,1039888,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-22,212.5900,217.9600,212.5900,215.7000,836160,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-23,215.7100,218.6000,211.0100,211.9100,961292,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-24,214.5000,214.5600,204.3500,205.6000,1122402,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-25,206.4400,215.0000,201.6800,212.9100,1400620,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-26,213.3000,218.2700,209.3000,216.2100,1180145,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-29,217.2600,219.9800,212.8900,214.7000,895910,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-30,214.4300,221.2100,213.0000,219.5000,1045862,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-31,218.7900,233.4100,218.3500,231.3000,1352842,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-01,230.0000,250.8800,227.0000,246.7100,1921951,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-02,251.2000,265.8800,248.8200,253.0000,1725233,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-06,254.4100,259.4800,243.5100,245.7500,1114368,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-07,245.6900,252.8000,240.5500,251.0000,1367895,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-08,249.0000,258.8600,248.5100,256.3600,1138216,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-09,255.9900,259.3400,253.6200,255.2400,688883,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-12,255.2400,265.5000,250.5100,252.6500,859886,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-13,250.0000,256.2800,246.0100,248.0000,929349,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-14,249.5000,255.0000,248.0000,252.2000,542165,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-15,253.5700,254.2000,248.0000,251.8800,705194,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-16,251.7600,253.4900,239.8600,250.6600,1039453,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-19,248.3100,249.4500,239.0000,245.0000,1463797,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-20,242.9400,251.4000,241.4000,243.7200,927390,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-21,241.9800,246.5900,241.6800,242.9600,744401,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-22,243.9900,249.4700,240.8800,242.5400,1159157,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-23,243.0000,249.5000,240.8900,243.5200,1085588,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-26,245.0500,264.0000,244.7800,257.6400,2040446,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-27,256.9400,266.8000,252.0000,265.2100,1909817,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-28,265.0000,268.1800,258.2000,266.2400,1373018,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-29,265.5000,271.9900,263.1200,263.7000,907484,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-04-30,262.2400,266.4000,260.8400,262.3000,754618,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-05-06,263.4900,263.4900,254.8500,259.7600,981594,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-05-07,257.8800,262.2000,235.4400,235.9600,2302380,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-05-10,237.0000,238.5500,231.1800,233.0600,938343,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-05-11,234.4000,236.7700,229.1900,232.8000,670914,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-05-12,231.9900,235.0000,227.5000,233.6800,914898,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
