time,open,high,low,close,volume,note
2023-03-15,33.3600,33.5000,32.2800,32.4000,46763005,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-16,32.1900,32.4900,31.0300,31.1100,81179789,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-17,31.6500,33.6000,31.4000,33.1600,108446501,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-20,33.2000,35.8500,33.2000,33.8000,124310090,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-21,34.3000,35.3000,33.4300,34.6700,85066248,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-22,34.4000,37.6800,34.1600,37.3400,144878440,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-23,37.0000,39.1200,36.9000,38.1800,141378584,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-24,37.6800,40.0900,37.3500,39.5000,126820985,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-27,39.1000,39.6000,37.7000,38.4000,117405854,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-28,38.2000,38.8600,36.8500,37.2000,87012960,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-29,37.0600,40.9200,36.6000,40.0100,198234457,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-30,39.5500,40.1500,37.6800,38.1200,142467523,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-31,37.8000,38.9800,36.7900,38.3300,94152220,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-03,38.7000,41.6800,38.7000,41.4600,148128142,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-04,41.4500,43.1600,40.4800,41.1600,121506811,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-06,40.0000,42.0100,39.9600,40.6800,105625154,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-07,40.4200,40.7000,39.5300,40.0800,69568033,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-10,39.9000,41.3000,37.8100,38.5600,103682116,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-11,38.5600,41.0200,37.6900,41.0200,111305824,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-12,41.5900,44.3300,41.3300,42.8500,149883904,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-13,42.3700,43.0600,38.9000,39.5600,115843651,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-14,40.1600,42.7900,38.7900,41.5300,99253209,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-04-17,41.2900,44.3000,40.5900,43.5500,117618217,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
