time,open,high,low,close,volume,note
2026-06-23,10.9100,11.1600,10.8800,11.1100,7456836,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-24,11.1000,11.1000,10.7700,10.8900,6717243,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-25,10.8600,10.9100,10.7000,10.8200,4623200,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-26,10.7300,10.8800,10.6500,10.8200,5961200,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-29,10.7500,10.9900,10.5500,10.9000,7256016,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-30,10.8600,10.9300,10.6800,10.7700,4454765,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-07-01,10.6700,10.8900,10.6400,10.8700,5628670,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-07-02,10.8500,11.0400,10.7900,10.9700,6330342,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-07-03,10.9700,11.1000,10.9500,10.9900,5766503,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-07-06,10.9600,11.1500,10.9500,11.1500,6389801,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-07-07,11.1400,11.1400,10.8800,10.9100,4946515,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-07-08,11.1700,11.3000,10.9600,11.0200,9203150,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-07-09,10.8700,10.8900,10.5900,10.7800,7926596,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
