time,open,high,low,close,volume,note
2026-06-09,5.2800,5.2900,5.1000,5.1700,128182026,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-10,5.1400,5.2000,5.1300,5.1900,75563199,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-11,5.1700,5.2100,5.1300,5.1500,84795399,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-12,5.1500,5.2500,5.1300,5.2100,106926132,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-15,5.2200,5.2700,5.1500,5.1900,99048266,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-16,5.1800,5.1800,5.0400,5.0500,131427481,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-17,5.0500,5.1000,4.9900,5.0800,109961524,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-18,5.0500,5.0600,4.9200,4.9200,116148187,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-22,4.9100,5.0100,4.8300,5.0000,135291849,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-23,4.9800,5.1000,4.9000,4.9200,117195964,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-24,4.9200,4.9400,4.7400,4.7600,134430300,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-25,4.7100,4.8800,4.6900,4.7700,130470250,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-26,4.8000,4.8900,4.7300,4.7500,126996990,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-29,4.7500,4.7700,4.5800,4.7200,194296005,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-30,4.6800,4.7100,4.5800,4.6300,120529986,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-07-01,4.6200,4.7900,4.6000,4.7200,168410129,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-07-02,4.7100,4.8000,4.6200,4.6500,153212557,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-07-03,4.6700,4.7400,4.6300,4.6800,122447000,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-07-06,4.6900,4.7800,4.6500,4.7600,124528922,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-07-07,4.7500,4.7600,4.5700,4.5800,138036150,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-07-08,4.5800,4.6500,4.5100,4.6300,100224708,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-07-09,4.6100,4.6500,4.5400,4.6000,92281560,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
