time,open,high,low,close,volume,note
2021-11-12,570.8800,573.4900,565.0000,565.1000,934325,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-15,566.0000,580.0000,556.0200,580.0000,1735202,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-16,581.0200,590.8800,576.0600,587.6500,2605830,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-17,587.0000,587.6500,563.9200,565.1000,2237629,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-18,560.6500,563.4800,550.0000,561.0000,1697982,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-19,559.9900,569.8800,558.0000,565.9100,990929,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-22,567.0000,580.9700,565.0000,574.9300,1477591,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-23,574.8500,581.0000,569.0600,573.0000,1160212,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-24,570.1800,580.0000,561.5000,579.9800,1745121,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-25,577.1500,583.8000,573.8700,574.6200,1240980,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-26,575.0000,577.7700,561.2900,565.5000,1545106,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-29,558.8900,573.6700,557.0100,562.0100,1369749,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-30,565.0100,565.5000,555.0000,564.8000,1463499,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-01,558.0000,558.0000,533.0700,539.1900,2408247,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-02,538.0000,542.8800,533.8000,533.8000,1220273,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-03,531.2700,558.7000,531.1900,555.8800,2077364,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-06,556.0000,559.7700,544.1100,549.7000,1332829,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-07,556.8600,562.0000,549.1700,556.2700,1596162,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-08,556.1900,564.9800,546.9500,564.1000,1909669,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-09,566.0000,612.0000,560.1600,593.9000,4869559,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-10,588.8000,611.1800,588.0000,607.5000,4860949,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-13,609.9900,619.0000,602.5800,609.9900,2545097,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-14,614.0700,614.0700,603.0100,604.0800,1410430,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-15,605.0000,613.9700,584.2000,588.8800,2067356,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-16,591.0000,606.4900,588.5200,599.0000,1891040,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-17,594.5000,601.9800,567.9500,569.8300,2344688,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-20,564.5100,578.0000,551.1000,552.1600,1715554,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-21,559.9600,564.8000,550.4500,558.2600,1358916,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-22,560.1200,563.9800,554.0000,555.0000,1033355,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-23,559.0000,560.7400,540.0000,550.0000,1519411,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-24,554.6600,560.8000,548.1000,548.8800,1303230,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-27,551.3000,556.6800,537.0000,544.3900,1178203,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-28,544.4000,548.6800,537.0000,547.7100,1412380,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-29,546.8100,550.8000,534.0100,535.5000,1548242,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-30,533.9500,549.9000,533.0500,543.0200,1277739,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-12-31,541.9500,547.8000,534.4600,536.1100,1175872,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-04,536.0000,538.9200,520.0200,526.0000,1449321,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-05,526.0000,533.0000,516.1100,525.0000,1340635,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-06,522.1000,528.9000,481.8100,486.0000,3926365,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-07,486.0200,487.9900,462.0000,465.3000,3378497,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-10,464.9900,483.0000,460.2200,482.0000,2518257,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-11,478.9800,494.9500,473.9900,477.5000,1633715,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-12,480.0000,490.0000,475.0000,488.4800,1277476,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-13,485.0000,488.4700,475.5800,475.7800,1005394,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-14,468.0000,481.6800,467.1100,473.4200,1403121,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-17,472.0200,474.9700,462.0000,472.3000,1269682,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-18,472.3000,483.8000,465.0100,476.3200,1392695,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-19,472.1300,479.0000,463.3500,467.6000,1229254,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-20,470.0200,474.9000,456.0000,457.0000,1507706,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-21,457.0200,462.7000,441.1600,459.0000,1555307,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-24,459.0600,474.1100,455.0500,473.2900,1854153,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-01-25,468.9700,475.5000,463.0000,464.0000,1382387,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
