time,open,high,low,close,volume,note
2023-04-03,482.0000,524.2600,480.2500,511.9200,8085862,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-04,506.4900,515.9300,469.0100,486.5100,9491212,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-06,469.9000,499.0000,448.0200,472.0000,9279514,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-07,466.0000,481.0000,451.0200,470.3400,6367428,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-10,465.9400,465.9400,417.0000,423.0000,9584222,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-11,426.8800,446.0000,422.9700,431.3000,6631170,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-12,429.5800,456.2900,411.8800,439.9900,10009959,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-13,429.0000,433.5200,405.0000,409.5900,8806699,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-14,414.1000,424.6500,408.0000,418.0000,6554850,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-17,412.0000,435.6900,412.0000,427.2700,6936439,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-18,421.1500,457.0000,414.0200,441.5500,10876061,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-19,431.4600,464.8300,431.0500,443.0000,6417606,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-20,446.9400,485.0000,446.9400,480.0000,7743709,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-21,472.8000,483.0000,448.0000,448.0000,4906160,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-24,452.0000,462.6800,433.6600,440.2000,5132272,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-25,440.0000,470.9800,429.6400,445.8000,7267312,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-26,446.5900,468.0200,426.4600,430.1100,6497080,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-27,426.1400,439.2000,395.0000,407.0000,8183472,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-04-28,407.8200,442.0000,403.8200,440.2000,5766715,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-05-04,437.0700,452.2300,412.0000,416.2000,4949824,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-05-05,413.7900,426.8900,410.0000,417.0000,4715340,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-05-08,421.8500,444.4400,412.5200,440.0000,4897481,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-05-09,436.9600,471.8100,435.0000,445.3600,4945995,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-05-10,446.0000,456.0000,418.8100,419.5000,5186919,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
