time,open,high,low,close,volume,note
2010-12-17,6.1700,6.2600,6.0700,6.1800,14190882,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-20,6.1800,6.1800,5.9000,5.9500,14248648,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-21,5.9500,6.1000,5.9300,6.0200,9317548,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-22,6.0100,6.0500,5.9400,5.9500,5871768,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-23,5.9700,5.9900,5.8200,5.8700,10919272,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-24,5.8200,5.8900,5.7500,5.8500,7022477,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-27,5.8100,5.8800,5.7500,5.7600,11488548,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-28,5.7800,5.8300,5.6700,5.6800,6645401,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-29,5.6900,5.7300,5.5200,5.6000,8534688,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-30,5.5800,5.7200,5.4600,5.5800,16094542,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-31,5.5300,5.8100,5.4900,5.7600,37682267,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-04,5.6700,5.7000,5.5100,5.6400,30611458,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-05,5.5900,5.6000,5.5400,5.5700,14021015,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-06,5.5700,5.6000,5.5400,5.5600,11262293,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-07,5.5500,5.5900,5.4900,5.5500,13941570,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-10,5.5400,5.5600,5.4500,5.4600,12368607,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-11,5.4600,5.4800,5.4200,5.4500,9116905,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-12,5.4500,5.4900,5.4500,5.4800,9117817,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-13,5.4900,5.5000,5.4500,5.4500,7829416,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-14,5.4600,5.4700,5.3900,5.4000,8994809,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-17,5.4000,5.4000,5.2000,5.2100,10096060,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-18,5.2100,5.2400,5.2000,5.2000,6168537,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-19,5.2100,5.2800,5.2100,5.2700,7406657,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-20,5.2900,5.4300,5.2600,5.2700,14908869,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-21,5.2700,5.3600,5.2500,5.3400,8990314,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-24,5.3800,5.3800,5.3000,5.3300,5443987,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-25,5.3300,5.3400,5.2800,5.3200,3848128,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-26,5.3200,5.4500,5.3000,5.3800,8090590,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-27,5.3500,5.4200,5.2900,5.4000,10608866,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-28,5.3900,5.3900,5.3400,5.3600,4583304,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-01-31,5.3500,5.3900,5.3300,5.3900,6068371,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-01,5.3900,5.3900,5.3500,5.3800,3562235,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-09,5.3500,5.3700,5.3000,5.3200,4437100,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-10,5.3200,5.3800,5.2900,5.3700,6103716,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-11,5.3600,5.4600,5.3400,5.4500,11132616,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-02-14,5.4300,5.5700,5.4100,5.5500,16752878,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
